community_id,product_id,community_size
36,155666,6
36,272830,6
36,286311,6
36,335473,6
36,530008,6
37,29159,7
37,44315,7
37,188735,7
37,292677,7
37,411328,7
37,464161,7
37,476644,7
38,74012,6
38,162579,6
38,163140,6
38,329735,6
38,359073,6
38,395421,6
39,20338,7
39,202170,7
39,231529,7
39,270508,7
39,287742,7
39,294282,7
39,541707,7
40,91623,8
40,159503,8
40,174631,8
40,246476,8
40,248173,8
40,272669,8
40,380100,8
40,394804,8
41,97264,5
41,261804,5
41,334721,5
41,358944,5
41,469808,5
42,116154,4
42,291163,4
42,521598,4
42,531640,4
43,8558,3
43,315381,3
43,449093,3
44,124119,6
44,281058,6
44,370840,6
44,437181,6
44,447090,6
44,461414,6
45,38504,7
45,65004,7
45,163914,7
45,189007,7
45,269696,7
45,345010,7
45,436194,7
46,8787,7
46,23338,7
46,53654,7
46,74163,7
46,424802,7
46,450237,7
46,535531,7
47,7630,7
47,79348,7
47,300830,7
47,313309,7
47,314477,7
47,366327,7
47,541715,7
48,32514,7
48,107918,7
48,131925,7
48,178224,7
48,326818,7
48,392394,7
48,415761,7
49,16019,7
49,21232,7
49,66620,7
49,121794,7
49,295435,7
49,506788,7
49,509734,7
50,160798,8
50,164828,8
50,233468,8
50,257621,8
50,281988,8
50,353931,8
50,501902,8
50,522415,8
51,93003,8
51,163816,8
51,212108,8
51,347287,8
51,376722,8
51,387941,8
51,422973,8
51,536483,8
52,221215,5
52,230413,5
52,246114,5
52,270592,5
52,344634,5
53,47917,8
53,53541,8
53,90508,8
53,136916,8
53,241677,8
53,387661,8
53,387663,8
53,520539,8
54,47947,6
54,123949,6
54,162804,6
54,258040,6
54,302622,6
54,538948,6
55,160798,7
55,233468,7
55,257621,7
55,281988,7
55,353931,7
55,501902,7
55,522415,7
56,68164,9
56,90017,9
56,164035,9
56,209103,9
56,221076,9
56,234757,9
56,344437,9
56,386267,9
56,395500,9
57,1602,9
57,316508,9
57,330542,9
57,365982,9
57,382058,9
57,417272,9
57,425507,9
57,495172,9
57,523055,9
58,280181,8
58,345827,8
58,369920,8
58,393849,8
58,417695,8
58,441552,8
58,490177,8
58,516170,8
59,20193,9
59,22379,9
59,28496,9
59,52859,9
59,93556,9
59,212817,9
59,231533,9
59,429802,9
59,489744,9
60,106810,8
60,129187,8
60,195341,8
60,214810,8
60,214813,8
60,319626,8
60,432745,8
60,456830,8
61,57824,8
61,82730,8
61,90608,8
61,107186,8
61,109422,8
61,328644,8
61,377039,8
61,391732,8
62,9762,9
62,16457,9
62,126438,9
62,196682,9
62,214555,9
62,216152,9
62,542319,9
62,542780,9
62,542899,9
63,188388,9
63,210464,9
63,235705,9
63,271023,9
63,276501,9
63,336961,9
63,471385,9
63,524822,9
63,543938,9
64,41233,8
64,46638,8
64,80426,8
64,93866,8
64,149190,8
64,154979,8
64,317976,8
64,392661,8
65,2230,10
65,17348,10
65,47156,10
65,63867,10
65,76246,10
65,303329,10
65,312849,10
65,351508,10
65,353748,10
65,361150,10
66,120942,9
66,146227,9
66,213167,9
66,267988,9
66,278186,9
66,300388,9
66,394142,9
66,452083,9
66,508006,9
67,52177,6
67,342582,6
67,343803,6
67,357139,6
67,397652,6
67,517399,6
68,57001,8
68,121673,8
68,165419,8
68,234939,8
68,387878,8
68,433912,8
68,458054,8
68,534457,8
69,138094,7
69,164230,7
69,282347,7
69,290174,7
69,427388,7
69,453952,7
69,528463,7
70,81011,10
70,88567,10
70,161781,10
70,208899,10
70,282990,10
70,317988,10
70,392391,10
70,461665,10
70,510762,10
70,529454,10
71,13837,9
71,15316,9
71,133589,9
71,293389,9
71,382801,9
71,386834,9
71,392824,9
71,410573,9
71,430704,9
72,56630,9
72,142980,9
72,205060,9
72,287196,9
72,356294,9
72,380243,9
72,448373,9
72,454314,9
72,500534,9
73,34869,10
73,37099,10
73,177542,10
73,228303,10
73,231445,10
73,247967,10
73,352450,10
73,438089,10
73,525731,10
73,531408,10
74,11426,9
74,31915,9
74,31935,9
74,56368,9
74,79164,9
74,132000,9
74,251309,9
74,476278,9
74,538265,9
75,4891,10
75,154368,10
75,240949,10
75,346810,10
75,391006,10
75,434525,10
75,446662,10
75,482090,10
75,485778,10
75,540862,10
76,42761,10
76,58894,10
76,102756,10
76,108405,10
76,172687,10
76,173342,10
76,329503,10
76,387236,10
76,426707,10
76,455994,10
77,21397,9
77,75306,9
77,147833,9
77,193216,9
77,202424,9
77,285022,9
77,416667,9
77,421706,9
77,533455,9
78,144045,9
78,156667,9
78,169044,9
78,173236,9
78,194080,9
78,365781,9
78,367283,9
78,386697,9
78,445264,9
79,100394,10
79,173813,10
79,186430,10
79,227516,10
79,320672,10
79,396870,10
79,428880,10
79,477160,10
79,498315,10
79,536290,10
80,193203,4
80,228571,4
80,253308,4
80,460939,4
81,137144,8
81,186907,8
81,189330,8
81,199812,8
81,220034,8
81,382482,8
81,524325,8
81,526388,8
82,8680,10
82,40204,10
82,60792,10
82,136948,10
82,382320,10
82,406220,10
82,432419,10
82,442368,10
82,455693,10
82,466569,10
83,30623,10
83,76457,10
83,104494,10
83,136452,10
83,173156,10
83,308223,10
83,407878,10
83,410225,10
83,431590,10
83,535009,10
84,36169,9
84,48825,9
84,188821,9
84,213609,9
84,221585,9
84,260559,9
84,402729,9
84,424292,9
84,493529,9
85,55047,11
85,109596,11
85,261682,11
85,311842,11
85,313452,11
85,315852,11
85,335798,11
85,359987,11
85,407773,11
85,431823,11
85,455814,11
86,42828,6
86,329732,6
86,440992,6
86,459589,6
86,493912,6
86,499772,6
87,69474,5
87,378519,5
87,402485,5
87,422756,5
87,426387,5
88,16109,8
88,16111,8
88,97128,8
88,97129,8
88,97202,8
88,216065,8
88,268915,8
88,280334,8
89,76608,10
89,88760,10
89,130722,10
89,203259,10
89,234035,10
89,341428,10
89,452316,10
89,463827,10
89,488085,10
89,528101,10
90,13083,11
90,50229,11
90,74914,11
90,138186,11
90,161631,11
90,301328,11
90,384358,11
90,408215,11
90,438144,11
90,511464,11
90,538270,11
91,190422,10
91,246920,10
91,257956,10
91,542889,10
91,542890,10
91,542891,10
91,542893,10
91,543618,10
91,543619,10
91,543620,10
92,33850,5
92,93424,5
92,238808,5
92,467308,5
92,473657,5
93,94085,11
93,98742,11
93,152903,11
93,226158,11
93,240113,11
93,274813,11
93,544421,11
93,545678,11
93,545919,11
93,546598,11
93,547883,11
94,38673,10
94,51162,10
94,214408,10
94,294043,10
94,362026,10
94,467673,10
94,470113,10
94,482419,10
94,507403,10
94,528331,10
95,28879,10
95,102134,10
95,117609,10
95,173667,10
95,305042,10
95,306504,10
95,327667,10
95,423171,10
95,438183,10
95,490100,10
96,163452,8
96,183408,8
96,299655,8
96,331526,8
96,387434,8
96,504235,8
96,505148,8
96,540854,8
97,10546,11
97,64751,11
97,153838,11
97,214829,11
97,250005,11
97,253000,11
97,266209,11
97,308617,11
97,331600,11
97,392902,11
97,473769,11
98,12681,8
98,26230,8
98,112668,8
98,120595,8
98,120631,8
98,152758,8
98,280772,8
98,280779,8
99,42284,10
99,52236,10
99,140949,10
99,165131,10
99,197609,10
99,216696,10
99,353245,10
99,400218,10
99,462345,10
99,500904,10
100,14254,10
100,17479,10
100,19463,10
100,40144,10
100,64777,10
100,73725,10
100,217657,10
100,233388,10
100,363008,10
100,487180,10
101,14280,9
101,110854,9
101,143979,9
101,157587,9
101,256350,9
101,286107,9
101,376663,9
101,479118,9
101,499264,9
102,32531,8
102,276029,8
102,434086,8
102,458489,8
102,518638,8
102,523392,8
102,535215,8
102,535702,8
103,113905,12
103,188421,12
103,205459,12
103,210414,12
103,258181,12
103,338280,12
103,339151,12
103,411938,12
103,432420,12
103,456517,12
103,499824,12
103,528406,12
104,33116,11
104,53698,11
104,95736,11
104,200577,11
104,220425,11
104,237846,11
104,252872,11
104,338819,11
104,350763,11
104,518003,11
104,542252,11
105,13169,8
105,128999,8
105,221577,8
105,258922,8
105,345163,8
105,456085,8
105,522815,8
105,523198,8
106,5582,12
106,47930,12
106,193375,12
106,213676,12
106,329508,12
106,335028,12
106,339289,12
106,350684,12
106,374744,12
106,492634,12
106,495203,12
106,537580,12
107,14435,12
107,59509,12
107,68430,12
107,84384,12
107,93341,12
107,172036,12
107,294094,12
107,310314,12
107,311354,12
107,431313,12
107,504212,12
107,537726,12
108,36240,11
108,42176,11
108,93547,11
108,108203,11
108,150741,11
108,181169,11
108,243284,11
108,344212,11
108,375470,11
108,419212,11
108,501901,11
109,35284,11
109,59771,11
109,109204,11
109,124094,11
109,149985,11
109,153287,11
109,222178,11
109,308746,11
109,329470,11
109,408058,11
109,504430,11
110,63076,12
110,67221,12
110,182616,12
110,249104,12
110,254448,12
110,274294,12
110,354326,12
110,400510,12
110,438866,12
110,463165,12
110,465766,12
110,484041,12
111,20676,12
111,60967,12
111,70797,12
111,80072,12
111,114872,12
111,186483,12
111,222386,12
111,228567,12
111,269750,12
111,350356,12
111,388751,12
111,509194,12
112,21742,11
112,46750,11
112,134247,11
112,171553,11
112,223767,11
112,258658,11
112,306262,11
112,421935,11
112,442607,11
112,458567,11
112,518137,11
113,42687,12
113,161938,12
113,201570,12
113,201572,12
113,201574,12
113,215112,12
113,216724,12
113,252984,12
113,277248,12
113,487203,12
113,512040,12
113,523685,12
114,15708,12
114,44578,12
114,60897,12
114,85733,12
114,110288,12
114,114293,12
114,114561,12
114,182337,12
114,184866,12
114,346617,12
114,372891,12
114,508820,12
115,33138,9
115,86967,9
115,107110,9
115,129663,9
115,214960,9
115,264650,9
115,289094,9
115,486317,9
115,521391,9
116,62212,7
116,283926,7
116,311238,7
116,335193,7
116,476575,7
116,480585,7
116,521499,7
117,8720,13
117,22915,13
117,47521,13
117,49211,13
117,78517,13
117,118030,13
117,239132,13
117,286824,13
117,339296,13
117,480628,13
117,488277,13
117,496847,13
117,518489,13
118,21584,12
118,43288,12
118,113369,12
118,293968,12
118,318953,12
118,341763,12
118,343017,12
118,368792,12
118,392187,12
118,463048,12
118,464182,12
118,524986,12
119,13867,13
119,21789,13
119,43967,13
119,108325,13
119,219714,13
119,367717,13
119,410401,13
119,448789,13
119,456740,13
119,492018,13
119,496038,13
119,526750,13
119,533680,13
120,20761,13
120,37316,13
120,47014,13
120,76302,13
120,123563,13
120,154417,13
120,234014,13
120,337603,13
120,348574,13
120,463377,13
120,494258,13
120,512373,13
120,532301,13
121,10894,13
121,99122,13
121,223802,13
121,266177,13
121,269398,13
121,297608,13
121,343464,13
121,359725,13
121,367675,13
121,418818,13
121,486535,13
121,487448,13
121,515271,13
122,10904,5
122,91931,5
122,435284,5
122,436218,5
122,522544,5
123,4406,13
123,19471,13
123,157089,13
123,178108,13
123,220801,13
123,226561,13
123,234224,13
123,277277,13
123,386376,13
123,430041,13
123,453999,13
123,455469,13
123,535391,13
124,4465,12
124,124908,12
124,202570,12
124,229395,12
124,230023,12
124,288296,12
124,326420,12
124,434832,12
124,452470,12
124,497934,12
124,503387,12
124,523812,12
125,11462,11
125,163294,11
125,209787,11
125,318299,11
125,319527,11
125,332739,11
125,385265,11
125,416994,11
125,421463,11
125,430736,11
125,514230,11
126,599,10
126,24701,10
126,78205,10
126,163894,10
126,164710,10
126,198913,10
126,243898,10
126,344715,10
126,420118,10
126,527561,10
127,40257,9
127,87944,9
127,149459,9
127,302298,9
127,323354,9
127,391957,9
127,438672,9
127,468596,9
127,532365,9
128,239451,3
128,240095,3
128,512545,3
129,26661,11
129,50066,11
129,86257,11
129,264346,11
129,375204,11
129,384103,11
129,398286,11
129,422051,11
129,494807,11
129,527642,11
129,541049,11
130,160798,13
130,233468,13
130,257621,13
130,281988,13
130,348108,13
130,353931,13
130,372238,13
130,396166,13
130,415253,13
130,443821,13
130,492595,13
130,501902,13
130,522415,13
131,94879,14
131,105993,14
131,166143,14
131,201582,14
131,223642,14
131,239954,14
131,258569,14
131,272973,14
131,355461,14
131,377006,14
131,395464,14
131,406110,14
131,466308,14
131,536260,14
132,1806,13
132,4389,13
132,35472,13
132,49243,13
132,49268,13
132,158841,13
132,164686,13
132,267328,13
132,321497,13
132,376498,13
132,393054,13
132,405956,13
132,528993,13
133,16164,6
133,156021,6
133,203547,6
133,204591,6
133,470794,6
133,522328,6
134,6854,14
134,19622,14
134,30849,14
134,34477,14
134,63848,14
134,140014,14
134,173731,14
134,224056,14
134,287978,14
134,367439,14
134,375548,14
134,419643,14
134,463507,14
134,478547,14
135,29036,10
135,77589,10
135,108247,10
135,266452,10
135,311349,10
135,336378,10
135,392981,10
135,428859,10
135,472012,10
135,487744,10
136,28513,14
136,51175,14
136,136210,14
136,159972,14
136,189286,14
136,204831,14
136,221801,14
136,301886,14
136,301889,14
136,313801,14
136,342330,14
136,379184,14
136,482998,14
136,542026,14
137,61337,11
137,129710,11
137,154384,11
137,253676,11
137,261266,11
137,285631,11
137,370763,11
137,402042,11
137,456628,11
137,468716,11
137,519227,11
138,23490,13
138,86953,13
138,114651,13
138,203826,13
138,365198,13
138,365199,13
138,365200,13
138,503396,13
138,503406,13
138,517525,13
138,517526,13
138,517527,13
138,524843,13
139,23529,14
139,65611,14
139,80308,14
139,112477,14
139,121302,14
139,129804,14
139,139178,14
139,164015,14
139,189107,14
139,190820,14
139,245977,14
139,335799,14
139,418406,14
139,518716,14
140,91927,11
140,215767,11
140,285310,11
140,289765,11
140,289766,11
140,346397,11
140,346403,11
140,398891,11
140,398893,11
140,410927,11
140,410930,11
141,227683,3
141,433612,3
141,509043,3
142,32026,12
142,51830,12
142,101413,12
142,170001,12
142,185169,12
142,231450,12
142,265216,12
142,386984,12
142,437015,12
142,441937,12
142,508382,12
142,523179,12
143,41783,14
143,66432,14
143,97383,14
143,115952,14
143,201597,14
143,217106,14
143,279875,14
143,296850,14
143,354293,14
143,404506,14
143,467893,14
143,503711,14
143,511141,14
143,541044,14
144,43657,14
144,62080,14
144,80682,14
144,136713,14
144,163046,14
144,222737,14
144,224484,14
144,249270,14
144,267959,14
144,377023,14
144,473474,14
144,473755,14
144,530348,14
144,534978,14
145,4005,14
145,44111,14
145,72733,14
145,97674,14
145,124690,14
145,282981,14
145,319136,14
145,371558,14
145,391665,14
145,463620,14
145,474167,14
145,493578,14
145,496977,14
145,527275,14
146,43657,15
146,62080,15
146,80682,15
146,136713,15
146,163046,15
146,222737,15
146,224484,15
146,249270,15
146,267959,15
146,344889,15
146,377023,15
146,473474,15
146,473755,15
146,530348,15
146,534978,15
147,2223,14
147,68284,14
147,114393,14
147,139407,14
147,244679,14
147,261397,14
147,264686,14
147,289508,14
147,328671,14
147,424392,14
147,479184,14
147,497568,14
147,527734,14
147,530164,14
148,68757,12
148,74320,12
148,93674,12
148,104500,12
148,160383,12
148,316504,12
148,331116,12
148,340590,12
148,364773,12
148,388560,12
148,509547,12
148,513310,12
149,11065,15
149,31591,15
149,55931,15
149,168287,15
149,197866,15
149,216739,15
149,241646,15
149,299114,15
149,342259,15
149,355648,15
149,379596,15
149,427444,15
149,478910,15
149,500652,15
149,530841,15
150,41885,12
150,66520,12
150,107582,12
150,207524,12
150,215778,12
150,228892,12
150,248812,12
150,253624,12
150,273314,12
150,343630,12
150,463360,12
150,525454,12
151,19767,15
151,20763,15
151,31348,15
151,51187,15
151,95539,15
151,105238,15
151,137338,15
151,216885,15
151,217970,15
151,225811,15
151,249514,15
151,273670,15
151,430544,15
151,530090,15
151,540372,15
152,14245,12
152,54528,12
152,144069,12
152,225226,12
152,259746,12
152,310133,12
152,403336,12
152,418053,12
152,436121,12
152,446311,12
152,523611,12
152,527637,12
153,85960,4
153,100001,4
153,185031,4
153,334881,4
154,34069,15
154,93746,15
154,118346,15
154,164375,15
154,268565,15
154,293070,15
154,332827,15
154,334329,15
154,358591,15
154,362923,15
154,406380,15
154,420513,15
154,423318,15
154,430354,15
154,520700,15
155,183356,15
155,250924,15
155,275371,15
155,299770,15
155,372953,15
155,389000,15
155,412780,15
155,416950,15
155,425475,15
155,436711,15
155,440811,15
155,462792,15
155,487020,15
155,522161,15
155,525784,15
156,164133,3
156,173160,3
156,530421,3
157,94558,15
157,146062,15
157,279360,15
157,294063,15
157,312585,15
157,336521,15
157,359340,15
157,393519,15
157,403179,15
157,407071,15
157,420951,15
157,436325,15
157,451405,15
157,500578,15
157,529376,15
158,60469,8
158,178472,8
158,225413,8
158,250186,8
158,301853,8
158,404231,8
158,408235,8
158,488254,8
159,30137,8
159,90577,8
159,126741,8
159,153081,8
159,348218,8
159,359435,8
159,372359,8
159,471941,8
160,42868,16
160,123096,16
160,167695,16
160,206343,16
160,273513,16
160,284791,16
160,298005,16
160,312399,16
160,314150,16
160,434044,16
160,453405,16
160,454097,16
160,488842,16
160,501075,16
160,501384,16
160,538160,16
161,134939,6
161,348821,6
161,415746,6
161,439139,6
161,457766,6
161,517963,6
162,11773,16
162,48550,16
162,73233,16
162,133069,16
162,213093,16
162,238783,16
162,253868,16
162,273712,16
162,281946,16
162,332097,16
162,368011,16
162,391925,16
162,501400,16
162,505764,16
162,519200,16
162,525564,16
163,45101,16
163,60937,16
163,101631,16
163,103133,16
163,153491,16
163,181126,16
163,213736,16
163,284423,16
163,287808,16
163,303562,16
163,326990,16
163,334991,16
163,346114,16
163,462464,16
163,493507,16
163,538396,16
164,349,16
164,37216,16
164,60549,16
164,88924,16
164,101008,16
164,220969,16
164,222340,16
164,272997,16
164,284774,16
164,340505,16
164,535818,16
164,542356,16
164,543106,16
164,543653,16
164,543799,16
164,544593,16
165,10149,14
165,30877,14
165,56711,14
165,70028,14
165,112428,14
165,123304,14
165,171678,14
165,271402,14
165,286245,14
165,313181,14
165,385197,14
165,481100,14
165,483774,14
165,535197,14
166,121006,16
166,121475,16
166,168431,16
166,175809,16
166,193599,16
166,207193,16
166,263169,16
166,271753,16
166,301093,16
166,324488,16
166,350839,16
166,357226,16
166,376665,16
166,422678,16
166,449137,16
166,473120,16
167,12608,15
167,33227,15
167,82610,15
167,107111,15
167,157724,15
167,252074,15
167,252075,15
167,276515,15
167,437875,15
167,437876,15
167,437879,15
167,437883,15
167,437893,15
167,437936,15
167,486359,15
168,40389,16
168,44825,16
168,49681,16
168,99573,16
168,118929,16
168,123091,16
168,127273,16
168,197822,16
168,220482,16
168,326525,16
168,401298,16
168,465054,16
168,489348,16
168,502143,16
168,513780,16
168,522984,16
169,43061,16
169,109415,16
169,150543,16
169,174771,16
169,206773,16
169,221760,16
169,290912,16
169,298212,16
169,324000,16
169,348115,16
169,356140,16
169,382137,16
169,441912,16
169,448537,16
169,455432,16
169,470325,16
170,92198,17
170,136950,17
170,196044,17
170,207857,17
170,217115,17
170,222994,17
170,252416,17
170,288252,17
170,298476,17
170,302152,17
170,311205,17
170,343957,17
170,403212,17
170,404851,17
170,452729,17
170,478422,17
170,502099,17
171,15615,17
171,60709,17
171,77776,17
171,117427,17
171,119948,17
171,121609,17
171,161472,17
171,191527,17
171,201338,17
171,216044,17
171,253298,17
171,275950,17
171,287774,17
171,296260,17
171,368505,17
171,417972,17
171,458040,17
172,6290,17
172,16051,17
172,20998,17
172,91627,17
172,109271,17
172,186585,17
172,223416,17
172,237771,17
172,277700,17
172,302104,17
172,342521,17
172,343351,17
172,384625,17
172,417199,17
172,471109,17
172,495975,17
172,524273,17
173,146593,6
173,146661,6
173,542864,6
173,542865,6
173,543189,6
173,543666,6
174,195496,7
174,311567,7
174,357653,7
174,381599,7
174,432389,7
174,500036,7
174,528305,7
175,23490,16
175,86953,16
175,114651,16
175,203826,16
175,365196,16
175,365197,16
175,365198,16
175,365199,16
175,365200,16
175,503396,16
175,503406,16
175,516830,16
175,517525,16
175,517526,16
175,517527,16
175,524843,16
176,4390,17
176,30922,17
176,38325,17
176,38893,17
176,117542,17
176,146298,17
176,199234,17
176,218763,17
176,318580,17
176,331095,17
176,342640,17
176,353355,17
176,428785,17
176,486876,17
176,507166,17
176,526214,17
176,531176,17
177,2991,11
177,8183,11
177,18668,11
177,121944,11
177,271884,11
177,344930,11
177,347926,11
177,370447,11
177,485724,11
177,488148,11
177,529044,11
178,89139,18
178,105230,18
178,129923,18
178,145106,18
178,200053,18
178,213860,18
178,244471,18
178,266813,18
178,299825,18
178,300708,18
178,340706,18
178,378525,18
178,461995,18
178,475011,18
178,495940,18
178,521116,18
178,534520,18
178,539128,18
179,10654,17
179,31197,17
179,110509,17
179,125100,17
179,138446,17
179,166530,17
179,179787,17
179,195458,17
179,228556,17
179,288775,17
179,317488,17
179,331907,17
179,472715,17
179,497889,17
179,497891,17
179,504233,17
179,525524,17
180,95647,18
180,164236,18
180,196822,18
180,199674,18
180,246692,18
180,264636,18
180,297091,18
180,319430,18
180,342614,18
180,358037,18
180,375289,18
180,398166,18
180,440086,18
180,451990,18
180,467636,18
180,477933,18
180,485361,18
180,520733,18
181,4406,17
181,19471,17
181,157089,17
181,178108,17
181,194407,17
181,220801,17
181,226561,17
181,234224,17
181,277277,17
181,386376,17
181,408420,17
181,409317,17
181,430041,17
181,453999,17
181,455469,17
181,494662,17
181,535391,17
182,22967,14
182,63725,14
182,79671,14
182,160536,14
182,260630,14
182,281839,14
182,290530,14
182,331860,14
182,410870,14
182,426567,14
182,454171,14
182,470571,14
182,491828,14
182,531263,14
183,175657,3
183,467601,3
183,530943,3
184,128,9
184,26513,9
184,350694,9
184,374193,9
184,441002,9
184,448673,9
184,465275,9
184,530340,9
184,530910,9
185,16750,8
185,36684,8
185,37384,8
185,60074,8
185,153130,8
185,160818,8
185,504753,8
185,530151,8
186,10902,16
186,19148,16
186,32451,16
186,46703,16
186,76467,16
186,94931,16
186,239461,16
186,286893,16
186,312811,16
186,412102,16
186,464086,16
186,509145,16
186,513654,16
186,525025,16
186,535408,16
186,541970,16
187,46382,18
187,130396,18
187,132836,18
187,162294,18
187,202288,18
187,242229,18
187,256928,18
187,283630,18
187,320985,18
187,396952,18
187,423180,18
187,433045,18
187,436957,18
187,479163,18
187,480264,18
187,504082,18
187,505209,18
187,529090,18
188,9169,19
188,110248,19
188,114513,19
188,172923,19
188,181460,19
188,230005,19
188,235924,19
188,287140,19
188,317941,19
188,394523,19
188,419123,19
188,420467,19
188,447603,19
188,475607,19
188,488004,19
188,497146,19
188,502040,19
188,510389,19
188,530238,19
189,237977,3
189,435552,3
189,481973,3
190,2348,15
190,14698,15
190,20561,15
190,32781,15
190,120990,15
190,189174,15
190,227652,15
190,252559,15
190,263372,15
190,314412,15
190,372301,15
190,404585,15
190,445171,15
190,533394,15
190,536415,15
191,31185,15
191,67407,15
191,67802,15
191,88071,15
191,88664,15
191,92707,15
191,109100,15
191,146527,15
191,158577,15
191,277636,15
191,380684,15
191,399006,15
191,424948,15
191,455309,15
191,522219,15
192,2246,19
192,40924,19
192,68704,19
192,74720,19
192,147766,19
192,162314,19
192,199476,19
192,222688,19
192,243994,19
192,260488,19
192,268943,19
192,276364,19
192,338095,19
192,349653,19
192,408445,19
192,462002,19
192,464495,19
192,488231,19
192,517892,19
193,94800,3
193,103148,3
193,302845,3
194,26015,18
194,118232,18
194,159229,18
194,162845,18
194,208921,18
194,209104,18
194,213385,18
194,238365,18
194,286350,18
194,343737,18
194,344307,18
194,348522,18
194,397673,18
194,400307,18
194,421408,18
194,441053,18
194,498491,18
194,535666,18
195,137036,3
195,224119,3
195,544135,3
196,38006,8
196,62586,8
196,111985,8
196,153965,8
196,186509,8
196,275408,8
196,419797,8
196,524665,8
197,79592,18
197,100920,18
197,170945,18
197,266632,18
197,291301,18
197,311601,18
197,315620,18
197,361337,18
197,367186,18
197,389896,18
197,405823,18
197,413692,18
197,461863,18
197,506867,18
197,509960,18
197,510767,18
197,516373,18
197,537553,18
198,7651,16
198,34204,16
198,35242,16
198,62164,16
198,112685,16
198,179116,16
198,179914,16
198,235463,16
198,235864,16
198,238654,16
198,349738,16
198,361420,16
198,388591,16
198,395097,16
198,404319,16
198,502010,16
199,57455,11
199,144221,11
199,188534,11
199,331603,11
199,399669,11
199,408758,11
199,429358,11
199,477298,11
199,496219,11
199,521201,11
199,529907,11
200,42080,19
200,46728,19
200,48627,19
200,66647,19
200,155864,19
200,165125,19
200,177942,19
200,205662,19
200,225318,19
200,226635,19
200,262665,19
200,328494,19
200,359726,19
200,364489,19
200,428164,19
200,428900,19
200,442766,19
200,473812,19
200,536067,19
201,49952,8
201,150470,8
201,199121,8
201,244765,8
201,247554,8
201,269072,8
201,333697,8
201,357917,8
202,34594,20
202,82034,20
202,95834,20
202,209646,20
202,246655,20
202,254624,20
202,305721,20
202,306515,20
202,309474,20
202,313113,20
202,374164,20
202,381894,20
202,388342,20
202,397777,20
202,399259,20
202,406858,20
202,412129,20
202,423031,20
202,434737,20
202,482990,20
203,42714,17
203,100259,17
203,198172,17
203,216202,17
203,230862,17
203,242628,17
203,321951,17
203,345528,17
203,356182,17
203,359466,17
203,399876,17
203,405757,17
203,422914,17
203,511516,17
203,515102,17
203,528956,17
203,531753,17
204,5457,20
204,15489,20
204,27651,20
204,31953,20
204,60667,20
204,203359,20
204,251108,20
204,270273,20
204,289158,20
204,310937,20
204,316207,20
204,344438,20
